ru, Rus tili
en, Ingliz tili
fr, Fransuz tili
de, Nemis tili
es, Ispan tili
zh, Xitoy tili
ar, Arab tili
hi, Xind tili
id, Indoneziya tili
ms, Malay tili
pt, Portugal tili
it, Italiya tili
ja, Yapon tili
ko, Koreya tili
tr, Turk tili
fa, Fors tili
ur, Urdu tili
vi, Vyetnam tili
th, Tailand tili
pl, Polyak tili
uk, Ukrain tili
ro, Ruminiya tili
nl, Golland tili
sv, Shvetsiya tili
fi, Fin tili
no, Norvegiya tili
da, Daniya tili
el, Yunon tili
he, Ivrit tili
bg, Bolgariya tili
cs, Chex tili
hu, Vengr tili
hr, Xorvat tili
sk, Slovak tili
sl, Sloven tili
sr, Serb tili
lt, Litva tili
lv, Latviya tili
et, Eston tili
ka, Gruzin tili
hy, Arman tili
az, Ozbek tili
kk, Qozog tili
uz, O'zbek tili
tk, Turkman tili
ky, Qirg'iz tili
tg, Tojik tili
mn, Mo'g'ul tili
si, Sinhala tili
my, Birma tili
km, Kambodja tili
lo, Laos tili
ne, Nepal tili
bn, Bengal tili
pa, Panjabi tili
ta, Tamil tili
te, Telugu tili
ml, Malayalam tili
kn, Kannada tili
mr, Marathi tili
gu, Gujarati tili
or, Oriya tili
as, Assam tili
am, Amxar tili
om, Oromo tili
sw, Suaxili tili
yo, Yoruba tili
ig, Igbo tili
ha, Xausa tili
rw, Kinyarwanda tili
mg, Malagasi tili
so, Somali tili
sn, Shona tili
zu, Zulu tili
xh, Xosa tili
st, Sotho tili
tn, Tswana tili
ts, Tsonga tili
ve, Venda tili
nr, Ndebele tili
